"facility_id","target","EDV","HCP_COVID_19","IMM_3","OP_18b","OP_18c","OP_22","OP_29","SAFE_USE_OF_OPIOIDS","SEP_1","SEV_SEP_3HR","SEV_SEP_6HR","ed_flow_pc1","prevention_pc1"
"390228",0.9705,3,7.1,84,191,294,4,97,14,52,73,92,-1.3450642539798,0.0855849266158015
"390228",1.0377,3,7.1,84,191,294,4,97,14,52,73,92,-1.3450642539798,0.0855849266158015
"390231",1.1645,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390231",0.9342,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390231",1.0533,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390231",0.9698,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390231",1.0194,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390231",0.9888,4,2.5,80,274,455,5,98,16,46,64,82,-3.59983505181226,-0.376434584517976
"390233",1.0329,2,3.5,87,199,302,1,100,20,73,88,95,-0.46134333459806,-0.919454127743324
"390233",0.8855,2,3.5,87,199,302,1,100,20,73,88,95,-0.46134333459806,-0.919454127743324
"390233",0.9938,2,3.5,87,199,302,1,100,20,73,88,95,-0.46134333459806,-0.919454127743324
"390233",0.9464,2,3.5,87,199,302,1,100,20,73,88,95,-0.46134333459806,-0.919454127743324
"390233",1.1103,2,3.5,87,199,302,1,100,20,73,88,95,-0.46134333459806,-0.919454127743324
"390237",1.0468,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390237",1.3387,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390237",1.0544,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390237",0.9381,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390237",0.9072,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390237",0.9088,2,5.7,43,180,706,2,73,14,52,78,79,-1.82486809574662,0.0408872762797844
"390256",1.0397,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390256",1.2006,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390256",0.9749,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390256",0.9323,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390256",0.9846,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390256",0.9515,4,2.3,59,246,444,3,98,18,52,71,92,-2.87486086456507,-0.669512604891491
"390258",0.9434,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390258",1.2648,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390258",1.0625,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390258",1.1927,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390258",0.9971,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390258",0.9908,3,5.4,61,211,NA,2,96,18,79,87,91,-1.08584821071528,-0.553213227824079
"390265",0.957,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
"390265",1.2659,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
"390265",0.9914,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
"390265",0.9942,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
"390265",1.0411,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
"390265",1.1499,3,12.7,39,176,348,1,100,14,75,89,96,-0.8378290419274,0.305160645234363
